"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
32,11,10,27,9,0,4,6.59073032688958,191.144802271229,121.872894455672,40,3,0,0,0,0,0,0,0,0,26.560210444368,26.560210444368,50.7489128842964,50.7489128842964
33,11,10,30,7,0,3,5.07486235170497,196.219664622934,119.063529753204,38,5,0,0,0,0,0,0,0,0,26.560210444368,26.560210444368,51.261528165956,51.261528165956
34,11,10,34,6,0,0,4.30638319558965,200.526047818524,117.2358886396,30,8,0,6,0,0,3,3,2.15319159779482,2.15319159779482,28.7134020421628,28.7134020421628,51.7793213797535,51.7793213797535
35,11,10,27,9,0,4,6.39497904545063,206.921026863975,118.420089534949,40,3,0,0,0,0,0,0,0,0,28.7134020421628,28.7134020421628,49.2720417977308,49.2720417977308
36,11,10,30,7,0,3,4.92413386499698,211.845160728972,115.5758480151,38,5,0,0,0,0,0,0,0,0,28.7134020421628,28.7134020421628,49.7697391896271,49.7697391896271
37,11,10,34,6,0,0,4.17847930829744,216.023640037269,113.712977793031,30,8,0,6,0,0,3,3,2.08923965414872,2.08923965414872,30.8026416963116,30.8026416963116,50.2724638279062,50.2724638279062
38,11,10,27,9,0,4,6.2050417728217,222.228681810091,114.861593730334,40,3,0,0,0,0,0,0,0,0,30.8026416963116,30.8026416963116,47.7499634625315,47.7499634625315
39,11,10,30,7,0,3,4.77788216507271,227.006563975163,111.981407808418,38,5,0,0,0,0,0,0,0,0,30.8026416963116,30.8026416963116,48.2322863257894,48.2322863257894
40,11,10,34,6,0,0,4.0543742943617,231.060938269525,110.082230109513,30,8,0,6,0,0,3,3,2.02718714718085,2.02718714718085,32.8298288434924,32.8298288434924,48.719481137161,48.719481137161
41,11,10,27,9,0,4,6.02074582712712,237.081684096652,111.194171827791,40,3,0,0,0,0,0,0,0,0,32.8298288434924,32.8298288434924,46.1812940779404,46.1812940779404
42,11,10,30,7,0,3,4.63597428688788,241.71765838354,108.276941240193,38,5,0,0,0,0,0,0,0,0,32.8298288434924,32.8298288434924,46.6477717958994,46.6477717958994
43,11,10,34,6,0,0,3.93395532344486,245.651613706985,106.340344687064,30,8,0,6,0,0,3,3,1.96697766172243,1.96697766172243,34.7968065052148,34.7968065052148,47.1189614099994,47.1189614099994
44,11,10,27,9,0,4,5.84192365531562,251.493537362301,107.414489582893,40,3,0,0,0,0,0,0,0,0,34.7968065052148,34.7968065052148,44.5646074848479,44.5646074848479
45,11,10,30,7,0,3,4.49828121459303,255.991818576894,104.45908038676,38,5,0,0,0,0,0,0,0,0,34.7968065052148,34.7968065052148,45.0147550351999,45.0147550351999
46,11,10,34,6,0,0,3.81711291638323,259.808931493277,102.483919582586,30,8,0,6,0,0,3,3,1.90855645819161,1.90855645819161,36.7053629634065,36.7053629634065,45.4694495305049,45.4694495305049
47,11,10,27,9,0,4,5.66841268082909,265.477344174106,103.519110689481,40,3,0,0,0,0,0,0,0,0,36.7053629634065,36.7053629634065,42.8984338691969,42.8984338691969
48,11,10,30,7,0,3,4.3646777642384,269.842021938344,100.524354231799,38,5,0,0,0,0,0,0,0,0,36.7053629634065,36.7053629634065,43.3317513830272,43.3317513830272
49,11,10,34,6,0,0,3.70374084565373,273.545762783998,98.5094487189887,30,8,0,6,0,0,3,3,1.85187042282686,1.85187042282686,38.5572333862333,38.5572333862333,43.7694458414416,43.7694458414416
50,11,10,27,9,0,4,5.50005515579578,279.045817939794,99.5044936555442,40,3,0,0,0,0,0,0,0,0,38.5572333862333,38.5572333862333,41.1812584256986,41.1812584256986
51,11,10,30,7,0,3,4.23504246996275,283.280860409757,96.4691855106507,38,5,0,0,0,0,0,0,0,0,38.5572333862333,38.5572333862333,41.5972307330288,41.5972307330288
52,11,10,34,6,0,0,3.59373603879697,286.874596448554,94.4133186976269,30,8,0,6,0,0,3,3,1.79686801939848,1.79686801939848,40.3541014056318,40.3541014056318,42.0174047808372,42.0174047808372
53,11,10,27,9,0,4,5.33669801761349,292.211294466167,95.3669885834616,40,3,0,0,0,0,0,0,0,0,40.3541014056318,40.3541014056318,39.4115199806436,39.4115199806436
54,11,10,30,7,0,3,4.10925747356239,296.320551939729,92.289887458042,38,5,0,0,0,0,0,0,0,0,40.3541014056318,40.3541014056318,39.8096161420643,39.8096161420643
55,11,10,34,6,0,0,3.48699848470866,299.807550424438,90.1918055131737,30,8,0,6,0,0,3,3,1.74349924235433,1.74349924235433,42.0976006479861,42.0976006479861,40.2117334768326,40.2117334768326
56,11,10,27,9,0,4,5.17819274979236,304.98574317423,91.1028338516906,40,3,0,0,0,0,0,0,0,0,42.0976006479861,42.0976006479861,37.5876095725582,37.5876095725582
57,11,10,30,7,0,3,3.98720841734011,308.972951591571,87.9826604562532,38,5,0,0,0,0,0,0,0,0,42.0976006479861,42.0976006479861,37.9672823965234,37.9672823965234
58,11,10,34,6,0,0,3.38343114271433,312.356382734285,85.8410711679325,30,8,0,6,0,0,3,3,1.69171557135716,1.69171557135716,43.7893162193433,43.7893162193433,38.3507902995186,38.3507902995186
59,11,10,27,9,0,4,5.02439524693077,317.380777981216,86.7081526948813,40,3,0,0,0,0,0,0,0,0,43.7893162193433,43.7893162193433,35.7078689894128,35.7078689894128
60,11,10,30,7,0,3,3.8687843401367,321.249562321352,83.5435885806882,38,5,0,0,0,0,0,0,0,0,43.7893162193433,43.7893162193433,36.0685545347604,36.0685545347604
61,11,10,34,6,0,0,3.28293985434457,324.532502175697,81.3571601825133,30,8,0,6,0,0,3,3,1.64146992717228,1.64146992717228,45.4307861465156,45.4307861465156,36.4328833684448,36.4328833684448
62,11,10,27,9,0,4,4.87516568370168,329.407667859399,82.1789496793064,40,3,0,0,0,0,0,0,0,0,45.4307861465156,45.4307861465156,33.7705892610554,33.7705892610554
63,11,10,30,7,0,3,3.75387757645029,333.161545435849,78.9686360397034,38,5,0,0,0,0,0,0,0,0,45.4307861465156,45.4307861465156,34.1117063242983,34.1117063242983
64,11,10,34,6,0,0,3.18543325773068,336.34697869358,76.7359959997004,30,8,0,6,0,0,3,3,1.59271662886534,1.59271662886534,47.0235027753809,47.0235027753809,34.4562690144428,34.4562690144428
65,11,10,27,9,0,4,4.73036838773006,341.07734708131,77.5111070704045,40,3,0,0,0,0,0,0,0,0,47.0235027753809,47.0235027753809,31.7740091054978,31.7740091054978
66,11,10,30,7,0,3,3.64238365855214,344.719730739862,74.2536435054591,38,5,0,0,0,0,0,0,0,0,47.0235027753809,47.0235027753809,32.094958692422,32.094958692422
67,11,10,34,6,0,0,3.09082270454282,347.810553444405,71.9733772782415,30,8,0,6,0,0,3,3,1.54541135227141,1.54541135227141,48.5689141276523,48.5689141276523,32.4191501943656,32.4191501943656
68,11,10,27,9,0,4,4.58987171624609,352.400425160651,72.7003810891328,40,3,0,0,0,0,0,0,0,0,48.5689141276523,48.5689141276523,29.7163133276421,29.7163133276421
69,11,10,30,7,0,3,3.53420122150949,355.93462638216,69.3943243324574,38,5,0,0,0,0,0,0,0,0,48.5689141276523,48.5689141276523,30.0164781087293,30.0164781087293
70,11,10,34,6,0,0,2.99902217939519,358.933648561555,67.0649740731893,30,8,0,6,0,0,3,3,1.4995110896976,1.4995110896976,50.0684252173499,50.0684252173499,30.3196748573024,30.3196748573024
71,11,10,27,9,0,4,4.45354793640186,363.387196497957,67.7423980537266,40,3,0,0,0,0,0,0,0,0,50.0684252173499,50.0684252173499,27.5956311689923,27.5956311689923
72,11,10,30,7,0,3,3.42923191102943,366.816428408987,64.3862606603299,38,5,0,0,0,0,0,0,0,0,50.0684252173499,50.0684252173499,27.874374918174,27.874374918174
73,11,10,34,6,0,0,2.90994822164498,369.726376630632,62.0063238993231,30,8,0,6,0,0,3,3,1.45497411082249,1.45497411082249,51.5233993281724,51.5233993281724,28.1559342607819,28.1559342607819
74,11,10,27,9,0,4,4.32127310914279,374.047649739774,62.6326504033567,40,3,0,0,0,0,0,0,0,0,51.5233993281724,51.5233993281724,25.4100346068504,25.4100346068504
75,11,10,30,7,0,3,3.32738029403995,377.375030033814,59.22489939733,38,5,0,0,0,0,0,0,0,0,51.5233993281724,51.5233993281724,25.6667016230812,25.6667016230812
