"x_iso","y_iso"
NA,14
15.4,14.2857142857143
15.0857142857143,14.5833333333333
14.7714285714286,14.8936170212766
14.4571428571429,15.2173913043478
14.1428571428571,15.5555555555556
13.8285714285714,15.9090909090909
13.5142857142857,16.2790697674419
13.2,16.6666666666667
12.8857142857143,17.0731707317073
12.5714285714286,17.5
12.2571428571429,17.9487179487179
11.9428571428571,18.4210526315789
11.6285714285714,18.9189189189189
11.3142857142857,19.4444444444444
11,20
10.6857142857143,20.5882352941176
10.3714285714286,21.2121212121212
10.0571428571429,21.875
9.74285714285714,22.5806451612903
9.42857142857143,23.3333333333333
9.11428571428572,24.1379310344828
8.8,25
8.48571428571429,25.9259259259259
8.17142857142857,26.9230769230769
7.85714285714286,28
7.54285714285714,29.1666666666667
7.22857142857143,30.4347826086957
6.91428571428571,31.8181818181818
6.6,33.3333333333333
6.28571428571429,35
5.97142857142857,36.8421052631579
5.65714285714286,38.8888888888889
5.34285714285714,41.1764705882353
5.02857142857143,43.75
4.71428571428572,46.6666666666667
4.4,50
4.08571428571429,53.8461538461538
3.77142857142857,58.3333333333333
3.45714285714286,63.6363636363636
3.14285714285714,70
2.82857142857143,77.7777777777777
2.51428571428571,87.5
2.2,100
1.88571428571429,116.666666666667
1.57142857142857,140
1.25714285714286,175
0.942857142857144,233.333333333333
0.628571428571429,350
0.314285714285715,699.999999999999
0,Inf
