"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
40,0,0,25,22,0,18,14.8660390793262,518.012526192223,428.604612657796,37,8,0,0,0,0,0,0,0,0,143.061092745231,143.061092745231,197.887627523686,197.887627523686
41,0,0,32,9,0,0,6.02074582712712,524.03327201935,414.752133997774,27,22,0,20,0,0,10,10,6.6897175856968,6.6897175856968,149.750810330928,149.750810330928,199.886492448168,199.886492448168
42,0,0,25,22,0,18,14.5702049016476,538.603476920998,418.941549492701,37,5,0,0,0,0,0,0,0,0,149.750810330928,149.750810330928,191.804537826432,191.804537826432
43,0,0,32,9,0,0,5.90093298516729,544.504409906165,404.991464134042,35,15,0,12,0,0,6,6,3.93395532344486,3.93395532344486,153.684765654373,153.684765654373,193.741957400436,193.741957400436
44,0,0,25,22,0,18,14.2802578241048,558.78466773027,409.082287004082,39,9,0,0,0,0,0,0,0,0,153.684765654373,153.684765654373,189.638340808521,189.638340808521
45,0,0,32,9,0,0,5.78350441876246,564.568172149032,395.032613135437,24,26,0,22,0,0,11,11,7.0687276229319,7.0687276229319,160.753493277305,160.753493277305,191.553879604567,191.553879604567
46,0,0,25,22,0,18,13.9960806934052,578.564252842437,399.022841550946,31,8,0,0,0,0,0,0,0,0,160.753493277305,160.753493277305,182.377656166229,182.377656166229
47,0,0,32,9,0,0,5.66841268082909,584.232665523266,384.871557122168,27,19,0,16,0,0,8,8,5.03858904962586,5.03858904962586,165.792082326931,165.792082326931,184.219854713363,184.219854713363
48,0,0,25,22,0,18,13.7175586876064,597.950224210873,388.75914860825,35,7,0,0,0,0,0,0,0,0,165.792082326931,165.792082326931,177.999853245821,177.999853245821
49,0,0,32,9,0,0,5.55561126848059,603.505835479353,374.504190513384,29,19,0,14,0,0,7,7,4.32103098659602,4.32103098659602,170.113113313527,170.113113313527,179.797831561436,179.797831561436
50,0,0,25,22,0,18,13.444579269723,616.950414749076,378.287061124631,32,12,0,8,0,0,4,4,2.44446895813146,2.44446895813146,172.557582271658,172.557582271658,174.54326420347,174.54326420347
51,0,0,32,9,0,0,5.44505460423783,622.395469353314,363.926324368314,36,11,0,0,0,0,0,0,0,0,172.557582271658,172.557582271658,172.265923437849,172.265923437849
52,0,0,25,22,0,18,13.1770321422555,635.57250149557,367.602347846782,19,28,0,26,0,0,13,13,7.78642808406009,7.78642808406009,180.344010355718,180.344010355718,174.005983270554,174.005983270554
53,0,0,32,9,0,0,5.33669801761349,640.909199513183,353.133684693719,29,4,0,0,0,0,0,0,0,0,180.344010355718,180.344010355718,162.632306333893,162.632306333893
54,0,0,25,22,0,18,12.9148092026247,653.824008715808,356.700691609817,34,10,0,0,0,0,0,0,0,0,180.344010355718,180.344010355718,164.275056902923,164.275056902923
55,0,0,32,9,0,0,5.23049772706299,659.054506442871,342.121910716987,22,25,0,22,0,0,11,11,6.3928305552992,6.3928305552992,186.736840911017,186.736840911017,165.934400912043,165.934400912043
56,0,0,25,22,0,18,12.6578044994924,671.712310942363,345.577687592916,31,6,0,0,0,0,0,0,0,0,186.736840911017,186.736840911017,156.499394860649,156.499394860649
57,0,0,32,9,0,0,5.12641082229443,676.838721764658,330.886553124158,31,15,0,12,0,0,6,6,3.41760721486296,3.41760721486296,190.15444812588,190.15444812588,158.080196828939,158.080196828939
58,0,0,25,22,0,18,12.4059141899525,689.24463595461,334.228841539553,37,8,0,0,0,0,0,0,0,0,190.15444812588,190.15444812588,153.616360433272,153.616360433272
59,0,0,32,9,0,0,5.02439524693077,694.269031201541,319.423072262175,27,22,0,20,0,0,10,10,5.58266138547864,5.58266138547864,195.737109511359,195.737109511359,155.168040841688,155.168040841688
60,0,0,25,22,0,18,12.1590364975725,706.428067699114,322.649567941591,37,5,0,0,0,0,0,0,0,0,195.737109511359,195.737109511359,146.634384688574,146.634384688574
61,0,0,32,9,0,0,4.92440978151685,711.35247748063,307.726836304637,35,15,0,12,0,0,6,6,3.28293985434457,3.28293985434457,199.020049365704,199.020049365704,148.115540089469,148.115540089469
62,0,0,25,22,0,18,11.9170716712708,723.269549151901,310.835188186502,39,9,0,4,0,0,2,2,1.08337015193371,1.08337015193371,200.103419517637,200.103419517637,143.551050595423,143.551050595423
63,0,0,32,9,0,0,4.82641402686466,728.095963178766,295.793119380305,35,16,0,14,0,0,7,7,3.75387757645029,3.75387757645029,203.857297094088,203.857297094088,142.980859187296,142.980859187296
64,0,0,25,22,0,18,11.6799219450125,739.775885123778,298.780928666975,42,6,0,2,0,0,1,1,0.530905542955113,0.530905542955113,204.388202637043,204.388202637043,137.354403219491,137.354403219491
65,0,0,32,9,0,0,4.73036838773006,744.506253511508,283.617099663611,38,14,0,8,0,0,4,4,2.10238595010225,2.10238595010225,206.490588587145,206.490588587145,137.731720423728,137.731720423728
66,0,0,25,22,0,18,11.4474914983067,755.953745009815,286.481918852132,32,18,0,14,0,0,7,7,3.64238365855214,3.64238365855214,210.132972245697,210.132972245697,135.082545882554,135.082545882554
67,0,0,32,9,0,0,4.63623405681423,760.589979066629,271.193857426396,36,11,0,0,0,0,0,0,0,0,210.132972245697,210.132972245697,129.376308972276,129.376308972276
68,0,0,25,22,0,18,11.2196864174904,771.80966548412,273.933189319592,19,28,0,26,0,0,13,13,6.62981470124435,6.62981470124435,216.762786946941,216.762786946941,130.683140376037,130.683140376037
69,0,0,32,9,0,0,4.54397299908363,776.353638483203,258.518373050093,29,4,0,0,0,0,0,0,0,0,216.762786946941,216.762786946941,118.871858965694,118.871858965694
70,0,0,25,22,0,18,10.9964146577824,787.350053140986,261.129669747569,34,10,0,0,0,0,0,0,0,0,216.762786946941,216.762786946941,120.072584813832,120.072584813832
71,0,0,32,9,0,0,4.45354793640186,791.803601077387,245.585524997544,22,25,0,22,0,0,11,11,5.44322525560228,5.44322525560228,222.206012202544,222.206012202544,121.285439205891,121.285439205891
72,0,0,25,22,0,18,10.7775860060925,802.58118708348,248.066186866206,31,6,0,0,0,0,0,0,0,0,222.206012202544,222.206012202544,111.399433541304,111.399433541304
73,0,0,32,9,0,0,4.36492233246747,806.946109415947,232.390087743643,31,15,0,8,0,0,4,4,1.93996548109665,1.93996548109665,224.14597768364,224.14597768364,112.524680344752,112.524680344752
74,0,0,25,22,0,18,10.5631120445713,817.509221460519,234.737462367316,29,17,0,14,0,0,7,7,3.36099019599995,3.36099019599995,227.50696787964,227.50696787964,109.620889237123,109.620889237123
75,0,0,32,9,0,0,4.27806037805136,821.78728183857,218.926729663956,36,7,0,0,0,0,0,0,0,0,227.50696787964,227.50696787964,103.657463875882,103.657463875882
76,0,0,25,22,0,18,10.3529061148843,832.140187953454,221.138110771672,29,19,0,12,0,0,6,6,2.8235198495139,2.8235198495139,230.330487729154,230.330487729154,104.704508965537,104.704508965537
77,0,0,32,9,0,0,4.19292697652814,836.333114929983,205.190010880477,28,16,0,12,0,0,6,6,2.79528465101876,2.79528465101876,233.125772380173,233.125772380173,99.7015242076131,99.7015242076131
78,0,0,25,22,0,18,10.1468832831981,846.479998213181,207.262637253007,34,9,0,0,0,0,0,0,0,0,233.125772380173,233.125772380173,94.6480042501143,94.6480042501143
