"x_iso","y_iso"
NA,8.75
15.4,8.92857142857143
15.0857142857143,9.11458333333333
14.7714285714286,9.30851063829787
14.4571428571429,9.51086956521739
14.1428571428571,9.72222222222222
13.8285714285714,9.94318181818182
13.5142857142857,10.1744186046512
13.2,10.4166666666667
12.8857142857143,10.6707317073171
12.5714285714286,10.9375
12.2571428571429,11.2179487179487
11.9428571428571,11.5131578947368
11.6285714285714,11.8243243243243
11.3142857142857,12.1527777777778
11,12.5
10.6857142857143,12.8676470588235
10.3714285714286,13.2575757575758
10.0571428571429,13.671875
9.74285714285714,14.1129032258065
9.42857142857143,14.5833333333333
9.11428571428572,15.0862068965517
8.8,15.625
8.48571428571429,16.2037037037037
8.17142857142857,16.8269230769231
7.85714285714286,17.5
7.54285714285714,18.2291666666667
7.22857142857143,19.0217391304348
6.91428571428571,19.8863636363636
6.6,20.8333333333333
6.28571428571429,21.875
5.97142857142857,23.0263157894737
5.65714285714286,24.3055555555556
5.34285714285714,25.7352941176471
5.02857142857143,27.34375
4.71428571428572,29.1666666666667
4.4,31.25
4.08571428571429,33.6538461538461
3.77142857142857,36.4583333333333
3.45714285714286,39.7727272727273
3.14285714285714,43.75
2.82857142857143,48.6111111111111
2.51428571428571,54.6875
2.2,62.5
1.88571428571429,72.9166666666667
1.57142857142857,87.5
1.25714285714286,109.375
0.942857142857144,145.833333333333
0.628571428571429,218.75
0.314285714285715,437.5
0,Inf
